Method, Cyclomatic Complexity
testHashCodeNullEquator, 1
getEntrySet, 2
testListEquals, 1
makeArrayListIterator, 1
put, 1
predicatedSortedMap, 1
printIndent, 2
unmodifiableSortedBidiMap, 2
processBitMaps, 2
testConstructors, 1
testCollections307, 1
reuseMapping, 3
testCollections304, 1
testSelectRejected, 1
testConstructorsByArrayNull, 1
testPutAll_KeyIterable, 1
testFixedSizeMap, 1
getCount, 1
compareKeys, 3
setCount, 1
testIteratorConstructor_null1, 1
multiKeyMap, 2
testBagSize, 2
isSetValueChecking, 1
testAddAll, 1
getIncrement, 1
testValueList_removeByIndex, 2
emptyIsZeroLength, 1
testAsEnumerationNull, 1
testSetValuedMapEqualsHashCodeContract, 1
createNodeList, 1
unmodifiableTrie, 1
replaceInternal2, 3
cosineSimilarity, 1
weakValues, 1
instantiateTransformer, 3
getSets, 1
addMapping, 8
testPermutationExhaustivity, 2
jaccardSimilarity, 1
testBagIteratorFailDoubleRemove, 2
testDisjunctionNullColl1, 1
testDisjunctionNullColl2, 1
testEqualsHashCodeContract, 1
keyHash, 1
testSubMapOutOfRange, 2
testSetValuedMapAdd, 1
inverseSortedBidiMap, 1
broadcastNodeInserted, 3
testMin, 1
lockChain, 2
doRemoveValue, 2
testEnsurePredicateCanBeTypedWithoutWarning, 1
setParent, 1
testIntersectNonEmptySubset, 1
getData, 4
testMapEntrySetIteratorEntrySetValueCrossCheck, 3
testUnsupportedSet, 2
testValues, 3
deserialize, 1
testEstimateUnion, 1
testForEachPairArrayTooShort, 1
decrementSize, 1
insertValue, 6
reverse, 1
testIsEmptyWithNonEmptyMap, 1
testAddAllPass, 1
getSampleTotalValueCount, 1
newSetValuedHashMap, 1
testIsFullNullColl, 1
testIsEmptyWithEmptyCollection, 1
testEstimateIntersection, 1
hammingDistance, 1
testOdds, 1
walkLists, 11
makeBlockAllFilter, 1
ifTransformer, 1
nullLowComparator, 2
testComputeIfPresent, 1
forAllButLastDoCollection, 1
testObjectHashCodeEqualsContract, 3
testBuilderAll, 1
testUnmodifiableSortedBag, 1
skippingIterator, 1
testRemoveRangeNull, 1
replace, 2
testaddAllNullColl1, 1
stringPredicate, 1
testPredicateTypeCanBeSuperClassOfObject, 1
assertMod, 1
updateCurrentIterator, 4
testEntrySetClearChangesMap, 2
flatten, 2
decorateUniqueCollection, 1
setLoadFactor, 1
testJoggingNotOverBoundary, 1
doRedBlackDelete, 10
testIsSubCollection, 1
xorCardinality, 1
heightRightMinusLeft, 1
testObjectHashCodeEqualsSelfHashCode, 1
testRemoveWithoutCallingNext, 1
factoryTransformer, 1
predicatedQueue, 1
getMap, 1
testUniqueReturnsSelf, 1
testMultiValuedMapIterator, 4
testBagToArrayPopulate, 2
testDuplicateListEmptySet, 1
entryKey, 1
