Method, Cyclomatic Complexity
testIsNotEmptyWithNonEmptyCollection, 1
of, 1
testComparator2, 1
testEnumeration, 1
testCollectionToArray2, 5
clearPreviousObject, 1
testSwitchMapTransformer, 1
testUniqueListDoubleInsert, 1
assertDescendingOrder, 5
rejectedElements, 1
testIntersectionUsesMethodEquals, 1
keyRef, 1
getKeys, 1
entryNext, 1
testCollectionAdd, 3
nonePredicate, 2
testGetIntValue, 1
testEqualsAfterSerializationOfDerivedClass, 1
assertCell3, 2
getNode, 7
testGetLongIndex, 1
testBagEqualsSelf, 2
testSubtract, 1
testRemoveThrows, 1
transformingSet, 1
checkCapacity, 3
testUnmodifiableMap, 1
testCollate, 1
getDoubleValue, 1
testConvertResourceBundle, 1
testUnionNullColl2, 1
testBagEqualsHashBag, 2
testUnionNullColl1, 1
testIllegalAddAll, 1
testRemoveFromUnderlying, 1
testBidiTailMapContains, 1
testIsSubCollectionNullColl2, 1
testIsSubCollectionNullColl1, 1
iterator, 1
testIntersectListWithNoOverlapAndDifferentTypes, 1
testIsEmpty, 1
calculateHashCode, 2
supportsEmptyIterator, 1
testFailFastKeySet, 3
testMapContainsValue, 2
testAccessOrder, 2
testAddMutator, 1
nullArrayToGetInstance, 1
tailSet, 1
notNullPredicate, 1
getObject, 3
readResolve, 1
synchronizedSortedSet, 1
safeAddToMap, 1
testGetDoubleValue, 1
subtract, 1
testSize0, 1
testFixedSizeSortedMap, 1
testLazyMapFactory, 1
testReindexUpdatesIndexWhenDecoratedCollectionIsModifiedSeparately, 1
testPut, 1
accept, 3
testIterator, 1
testMultiSetSize, 2
testUnmodifiableIterator, 1
testIntersectListWithSelf, 1
verifyIteration, 1
verbosePrint, 1
testBugCollections447, 1
testpredicatedSet, 1
testIterationOrder, 5
asMap, 1
testValuesRetainAll, 2
testSynchronizedRemoveFromValues, 4
testListValuedMapEqualsHashCodeContract, 1
buildTwo, 1
sum, 1
makeEmptyIterator, 1
testNextAndPreviousIndex, 1
testIsNotEmptyWithNonEmptyMap, 1
testRemoveUnderlying, 1
createUniqueSetIterator, 1
getFromIterable, 1
current, 2
testRemoveAll, 1
testTransformedCollection_decorateTransform, 1
testGrowthSet2, 1
verifyInverse, 1
testGrowthSet1, 1
testPropertyName, 1
setTransformer, 1
checkNumberOfBits, 2
key, 2
testCosineDistance, 1
convertKey, 1
processBitMapPairs, 1
testAddAllNullColl5, 1
assertNotCollectionContains, 1
testOnePredicate, 1
testLinkedListRemoveLast, 2
isAllowDuplicateValues, 1
emptyListIterator, 1
toMap, 2
testFindBloomFilter, 1
testAddAllNullColl4, 1
testInternalState_CursorNextNextAddByIterator, 1
testAddAllNullColl3, 1
skippingIterable, 1
testAddAllNullColl2, 1
addSetValues, 1
populateEntireFilter, 1
testIterateEvenOdd, 2
testVerbosePrintNullLabel, 1
setForwardSort, 1
testBidiRemoveByTailMap, 2
setUpTest, 1
frequency, 3
testTransformerDecorate, 1
testEmptyOrderedIterator, 1
testSkip, 1
testExhaustivityWithAllEmptyLists, 2
hasMoreElements, 1
cloneMapEntry, 1
fixedSizeList, 1
testExhaustivityWithSameList, 2
testFirstFromIterableIndexOutOfBoundsException, 1
testBitMapExtractorSize, 1
testOrderedMapIterator, 1
bulkTestBagUniqueSet, 1
testExecutorTransformer, 1
testGetByIndex, 2
testDebugPrintNullLabelAndMap, 1
testSize_Key, 4
filteredIterable, 1
calculateNumberOfHashFunctions, 2
testAsIterable, 1
testBidiModifyEntrySet, 2
testFilteredListIterator, 1
populateFromHashersFrom1AndFrom11, 1
createNodes, 1
bulkTestValueListView, 1
transformingBag, 1
higher, 1
synchronizedSortedBag, 1
testLooping0, 1
testLooping1, 1
readExternalFormFromStream, 1
testLooping2, 1
testLooping3, 1
testPermutationUnicity, 2
setConfirmed, 1
testAddComposited, 1
removeRange, 3
lastKey, 1
isValueType, 1
testContainsKey, 1
testAddAsEqual, 1
fromIndexExtractor, 1
testLegalAddAll, 1
testPartition, 2
testAddAllForIterable, 1
pushback, 1
bulkTestSortedSetTailSet, 1
testForClosure, 1
previous, 1
testTransformedCollection, 2
testBooleanComparator, 1
testReplaceKeyValueValue, 3
boundedIterable, 1
testFrequencyOfNull, 1
testGetValueByIndex, 2
testAsBloomFilterArray, 1
bitsPerElement, 1
sortObjects, 1
testFind, 1
testSwitchMapClosure, 1
getLength, 1
isRed, 1
previousIndex, 1
transformingQueue, 1
testExhaustivityWithEmptyFirstList, 2
testBagIteratorRemoveProtectsInvariants, 2
testDuplicateListMultipleDuplicatesInDeque, 1
assertNotRemoveAllFromCollection, 1
makeConfirmedCollection, 1
testStringValueTransformer, 1
unmodifiableOrderedBidiMap, 2
getSubSet, 5
testEntriesCollectionIterator, 3
testEmptyListSort, 1
testTransformingCollectionNullTransformer, 1
softValues, 1
getLongValue, 1
forAllDo, 2
testEmptyChain, 1
testInstantiateFactoryNoConstructor, 1
testNewIdentityHashSet, 1
testUnsupportedAdd, 2
getTestShape, 1
testGetFromMapIndexOutOfRange, 1
getComparator, 1
insertOnLeft, 3
containsAny, 4
fixedSizeMap, 1
createFilter, 1
testOnePredicateEx6, 1
testDefaultIfNull, 1
isEqualBitKey, 1
testTrueAndFalseCombined, 1
push, 1
processRemaining, 2
bulkTestTailMap, 1
selectR, 6
iterableSortedMap, 1
setReverseSort, 1
setTable, 1
testOnMaxSizeIllegalValues, 1
reuseEntry, 1
testChainedIterator, 1
removeEntry, 2
testSetIterator, 1
testEmptyListCompatibility, 2
unsupportedOperationException, 1
testTransformedQueue, 2
addBranch, 1
testListSetByIndexBoundsChecking, 1
testMapRemove, 3
testRemoveMappingException, 1
setMaximumCacheSize, 1
findConstructor, 1
testOnePredicateEx1, 1
testOnePredicateEx4, 1
testOnePredicateEx5, 1
unmodifiableMultiSet, 2
getEndIndex, 1
testOnePredicateEx2, 1
get, 1
testOnePredicateEx3, 1
attemptPutOperation, 1
copy, 1
testAsMapRemove, 2
testSingletonListIterator, 1
testIsProperSubCollection, 1
testRemoveViaValuesRemove, 3
isFromInclusive, 1
emptyMapIterator, 1
containsAll, 1
testSubListAddEnd, 1
testExpiration, 4
testNeitherPredicate, 1
testFactory_Decorate, 1
filter, 1
testCollectionAddAll, 3
expect, 1
testCtors, 1
decrement, 2
elements, 1
testNewStack, 1
testForEachBitMapPair, 3
removeAllExpired, 3
findCloneMethod, 1
testLock, 1
getIterators, 1
testToProperties, 1
testListAddByIndexBoundsChecking2, 1
getStart, 1
testKeySetIteratorRemoveChangesMap, 2
testCollectionContains, 4
isToInclusive, 1
getInteger, 1
falseFirstTests, 1
toPropertyFormat, 1
testIndexedArray, 3
testReplaceAll, 1
setEnumeration, 1
testSynchronizedMultiSet, 1
create, 1
testThrowingClosure, 1
testBitMapExtractorEdgeCases, 3
testForEachBitMap, 2
testContains_LANG_1261, 1
setUniqueList, 2
checkLocked, 2
executeAndThrow, 1
toLong, 2
testKeysBagIterator1, 2
writeObject, 1
testInternalState_CursorNextNextSetByIterator, 1
testKeysBagIterator2, 2
testLinkedListAddLast, 2
testIntersection, 1
replay, 1
checkKey, 1
testGetKeysSimpleConstructor, 1
testIsEmptyWithNonEmptyCollection, 1
softKeys, 1
testLoadOrderedKeysReverse, 1
testNullIsTruePredicate, 1
testGetCardinalityMap, 1
castKey, 1
testValueTransformedMap, 2
bulkTestListIterator, 1
testEntrySetContains3, 1
cloneTransformer, 1
testEntrySetContains2, 1
testEntrySetContains1, 1
testInstantiateFactoryNull, 1
transformingCollection, 1
nullIsTruePredicate, 1
testIsFull, 1
bulkTestMapValues, 1
assertFailedIndexExtractorConstructor, 1
getOffset, 2
testRemoveCountWrongCount, 1
testListValuedMapAddViaListIterator, 1
isLeftChild, 1
testIsSparse, 3
registerCursor, 1
processBloomFilterPair, 1
prototypeFactory, 3
applyIfPresent, 3
testInternalState_CursorNextNextPreviousAddIndex1ByList, 1
testMapIterator, 1
testMultiSetAdd, 2
testGrowthList, 1
inRange2, 1
testIterateOddEven, 2
testElementCreationWithTransformer, 1
unmodifiableIterator, 1
transformedComparator, 2
resolveCollision, 1
getShort, 1
supportsRemove, 1
testSerializationWithOpenCursor, 1
testDuplicateListNoDuplicates, 1
cardinality, 1
testMultipleValues, 3
entryHashCode, 1
exceptionTransformer, 1
testMapIteratorOrder, 4
notNullBuilder, 1
reverseObjects, 1
convertToMap, 6
whileClosure, 1
setupFindTest, 1
randomHasher, 1
