Package,Class Name,TCC
org.apache.commons.collections4.IterableUtils,IterableUtils,0.00
org.apache.commons.collections4.IterableUtils.UnmodifiableIterable,UnmodifiableIterable,0.00
org.apache.commons.collections4.ArrayUtils,ArrayUtils,0.00
org.apache.commons.collections4.properties.SortedPropertiesFactory,SortedPropertiesFactory,0.00
org.apache.commons.collections4.properties.SortedProperties,SortedProperties,0.00
org.apache.commons.collections4.properties.OrderedPropertiesFactory,OrderedPropertiesFactory,0.00
org.apache.commons.collections4.properties.OrderedProperties,OrderedProperties,0.00
org.apache.commons.collections4.properties.PropertiesFactory,PropertiesFactory,0.00
org.apache.commons.collections4.properties.PropertiesFactory.EmptyProperties,EmptyProperties,0.00
org.apache.commons.collections4.properties.AbstractPropertiesFactory,AbstractPropertiesFactory,0.00
org.apache.commons.collections4.map.LazySortedMap,LazySortedMap,0.00
org.apache.commons.collections4.map.PredicatedMap,PredicatedMap,0.00
org.apache.commons.collections4.map.LinkedMap,LinkedMap,0.00
org.apache.commons.collections4.map.LinkedMap.LinkedMapList,LinkedMapList,0.00
org.apache.commons.collections4.map.CaseInsensitiveMap,CaseInsensitiveMap,0.00
org.apache.commons.collections4.map.UnmodifiableMap,UnmodifiableMap,0.00
org.apache.commons.collections4.map.UnmodifiableSortedMap,UnmodifiableSortedMap,0.00
org.apache.commons.collections4.map.PassiveExpiringMap,PassiveExpiringMap,0.00
org.apache.commons.collections4.map.PassiveExpiringMap.ConstantTimeToLiveExpirationPolicy,ConstantTimeToLiveExpirationPolicy,0.00
org.apache.commons.collections4.map.ReferenceMap,ReferenceMap,0.00
org.apache.commons.collections4.map.MultiKeyMap,MultiKeyMap,0.00
org.apache.commons.collections4.map.AbstractSortedMapDecorator,AbstractSortedMapDecorator,0.00
org.apache.commons.collections4.map.AbstractSortedMapDecorator.SortedMapIterator,SortedMapIterator,0.00
org.apache.commons.collections4.map.StaticBucketMap,StaticBucketMap,0.00
org.apache.commons.collections4.map.StaticBucketMap.BaseIterator,BaseIterator,0.00
org.apache.commons.collections4.map.StaticBucketMap.EntryIterator,EntryIterator,0.00
org.apache.commons.collections4.map.StaticBucketMap.EntrySet,EntrySet,0.00
org.apache.commons.collections4.map.StaticBucketMap.KeyIterator,KeyIterator,0.00
org.apache.commons.collections4.map.StaticBucketMap.KeySet,KeySet,0.00
org.apache.commons.collections4.map.StaticBucketMap.Lock,Lock,0.00
org.apache.commons.collections4.map.StaticBucketMap.Node,Node,0.00
org.apache.commons.collections4.map.StaticBucketMap.ValueIterator,ValueIterator,0.00
org.apache.commons.collections4.map.StaticBucketMap.Values,Values,0.00
org.apache.commons.collections4.map.HashedMap,HashedMap,0.00
org.apache.commons.collections4.map.UnmodifiableOrderedMap,UnmodifiableOrderedMap,0.00
org.apache.commons.collections4.map.UnmodifiableEntrySet,UnmodifiableEntrySet,0.00
